InvoiceDate,Invoice Time,CustomerID,InvoiceNo,StockCode,Description,Country,Quantity,UnitPrice,Revenue,Items availability,revenue_buckets,price_buckets,final_revenue
12.09.2017,6:00,AV2Z1Efc-jtxr-f39lm6,536375,37370,RETRO COFFEE MUGS ASSORTED,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
01.08.2017,0:00,AVpgNkVc1cnluZ0-yJB6,536375,21871,SAVE THE PLANET MUG,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
01.08.2017,17:00,AVpgNkVc1cnluZ0-yJB6,536375,21071,VINTAGE BILLBOARD DRINK ME MUG,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
30.08.2017,7:00,AVpgNkVc1cnluZ0-yJB6,536375,21068,VINTAGE BILLBOARD LOVE/HATE MUG,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
26.07.2017,21:00,AVpgNkVc1cnluZ0-yJB6,536375,82483,WOOD 2 DRAWER CABINET WHITE FINISH,United Kingdom,2,4.95,9.9,In Stock,Good,Very High,10
10.03.2017,22:00,AVpgNkVc1cnluZ0-yJB6,536375,82486,WOOD S/3 CABINET ANT WHITE FINISH,United Kingdom,4,6.95,27.8,In Stock,Excellent,Very High,30
26.05.2018,15:00,AWACBprXKZqtpbFMVBZo,536375,82482,WOODEN PICTURE FRAME WHITE FINISH,United Kingdom,6,2.1,12.6,In Stock,Good,Medium,20
26.04.2018,16:00,AWACBprXKZqtpbFMVBZo,536375,82494L,WOODEN FRAME ANTIQUE WHITE ,United Kingdom,6,2.55,15.3,In Stock,Very Good,Medium,20
26.04.2018,16:00,AWACBprXKZqtpbFMVBZo,536375,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
08.06.2018,15:00,AWACBprXKZqtpbFMVBZo,536375,84029E,RED WOOLLY HOTTIE WHITE HEART.,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
12.12.2017,19:00,AVpfVI9wilAPnD_xZxH-,536375,22752,SET 7 BABUSHKA NESTING BOXES,United Kingdom,2,7.65,15.3,In Stock,Very Good,Very High,20
14.07.2017,23:00,AVpfVI9wilAPnD_xZxH-,536375,21730,GLASS STAR FROSTED T-LIGHT HOLDER,United Kingdom,6,4.25,25.5,In Stock,Excellent,High,30
23.07.2017,7:00,AVpfVI9wilAPnD_xZxH-,536377,22632,HAND WARMER RED POLKA DOT,United Kingdom,6,1.85,11.1,In Stock,Good,Medium,20
20.09.2017,9:00,AVpi9AE_LJeJML43qkYJ,536377,22633,HAND WARMER UNION JACK,United Kingdom,6,1.85,11.1,In Stock,Good,Medium,20
02.03.2017,22:00,AVpi9AE_LJeJML43qkYJ,536380,22961,JAM MAKING SET PRINTED,United Kingdom,24,1.45,34.8,In Stock,Excellent,Low,40
26.05.2018,16:00,AVpi9AE_LJeJML43qkYJ,536384,82484,WOOD BLACK BOARD ANT WHITE FINISH,United Kingdom,3,6.45,19.35,In Stock,Very Good,Very High,20
05.06.2018,4:00,AVpi9AE_LJeJML43qkYJ,536384,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,United Kingdom,48,0.65,31.2,In Stock,Excellent,Critical,40
08.12.2017,1:00,AVpiFC-LilAPnD_xAgKu,536384,22464,HANGING METAL HEART LANTERN,United Kingdom,12,1.65,19.8,In Stock,Very Good,Low,20
22.01.2018,21:00,AVpiFC-LilAPnD_xAgKu,536384,21324,HANGING MEDINA LANTERN SMALL,United Kingdom,6,2.95,17.7,In Stock,Very Good,High,20
20.06.2018,1:00,AVpiFC-LilAPnD_xAgKu,536384,22457,NATURAL SLATE HEART CHALKBOARD ,United Kingdom,12,2.95,35.4,In Stock,Excellent,High,40
04.04.2017,9:00,AVpiFC-LilAPnD_xAgKu,536384,22469,HEART OF WICKER SMALL,United Kingdom,40,1.45,58,In Stock,Excellent,Low,60
09.07.2017,6:00,AVpiFC-LilAPnD_xAgKu,536384,22470,HEART OF WICKER LARGE,United Kingdom,40,2.55,102,In Stock,Excellent,Medium,110
12.08.2017,16:00,AVpiFC-LilAPnD_xAgKu,536384,22224,WHITE LOVEBIRD LANTERN,United Kingdom,6,2.95,17.7,In Stock,Very Good,High,20
30.03.2017,1:00,AVpiFC-LilAPnD_xAgKu,536384,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,United Kingdom,2,12.75,25.5,In Stock,Excellent,Very High,30
26.05.2018,16:00,AVpiSS1A1cnluZ0-LyAY,536384,22189,CREAM HEART CARD HOLDER,United Kingdom,4,3.95,15.8,In Stock,Very Good,High,20
28.09.2014,20:00,AVpiSS1A1cnluZ0-LyAY,536384,22427,ENAMEL FLOWER JUG CREAM,United Kingdom,3,5.95,17.85,In Stock,Very Good,Very High,20
28.09.2014,20:00,AVpiSS1A1cnluZ0-LyAY,536384,22428,ENAMEL FIRE BUCKET CREAM,United Kingdom,6,6.95,41.7,In Stock,Excellent,Very High,50
28.08.2017,12:00,AVpgnnzJilAPnD_xu_7Q,536384,22424,ENAMEL BREAD BIN CREAM,United Kingdom,8,10.95,87.6,In Stock,Excellent,Very High,90
26.04.2018,16:00,AVpfyGvu1cnluZ0-rMw9,536390,22941,CHRISTMAS LIGHTS 10 REINDEER,United Kingdom,2,8.5,17,In Stock,Very Good,Very High,20
28.09.2014,20:00,AVpfyGvu1cnluZ0-rMw9,536390,22960,JAM MAKING SET WITH JARS,United Kingdom,12,3.75,45,In Stock,Excellent,High,50
06.12.2017,12:00,AVpfyGvu1cnluZ0-rMw9,536390,22961,JAM MAKING SET PRINTED,United Kingdom,12,1.45,17.4,In Stock,Very Good,Low,20
26.04.2018,16:00,AVpfyGvu1cnluZ0-rMw9,536390,22962,JAM JAR WITH PINK LID,United Kingdom,48,0.72,34.56,In Stock,Excellent,Critical,40
01.06.2018,15:00,AVpfyGvu1cnluZ0-rMw9,536390,22963,JAM JAR WITH GREEN LID,United Kingdom,48,0.72,34.56,In Stock,Excellent,Critical,40
27.05.2018,1:00,AVpjFAGc1cnluZ0-TWv2,536390,22968,ROSE COTTAGE KEEPSAKE BOX ,United Kingdom,8,8.5,68,In Stock,Excellent,Very High,70
29.07.2017,0:00,AVpe8ZRY1cnluZ0-aY4H,536390,84970S,HANGING HEART ZINC T-LIGHT HOLDER,United Kingdom,144,0.64,92.16,In Stock,Excellent,Critical,100
22.06.2018,7:00,AVpe8ZRY1cnluZ0-aY4H,536390,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,United Kingdom,40,2.55,102,In Stock,Excellent,Medium,110
02.03.2018,17:00,AVpfLsb-ilAPnD_xWtDE,536390,20668,DISCO BALL CHRISTMAS DECORATION,United Kingdom,288,0.1,28.8,In Stock,Excellent,Critical,30
06.12.2017,3:00,AVpfLsb-ilAPnD_xWtDE,536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,64,2.55,163.2,In Stock,Excellent,Medium,170
21.10.2017,9:00,AVpfLsb-ilAPnD_xWtDE,536390,22197,SMALL POPCORN HOLDER,United Kingdom,100,0.72,72,In Stock,Excellent,Critical,80
17.09.2017,7:00,AVpfLsb-ilAPnD_xWtDE,536390,22198,LARGE POPCORN HOLDER ,United Kingdom,50,1.45,72.5,In Stock,Excellent,Low,80
11.10.2017,11:00,AVpfLsb-ilAPnD_xWtDE,536390,21533,RETROSPOT LARGE MILK JUG,United Kingdom,12,4.25,51,In Stock,Excellent,High,60
15.08.2017,10:00,AVpfLsb-ilAPnD_xWtDE,536390,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,United Kingdom,96,0.64,61.44,In Stock,Excellent,Critical,70
04.04.2017,9:00,AVpfLsb-ilAPnD_xWtDE,536390,21094,SET/6 RED SPOTTY PAPER PLATES,United Kingdom,96,0.64,61.44,In Stock,Excellent,Critical,70
22.07.2017,19:00,AVpfLsb-ilAPnD_xWtDE,536390,21086,SET/6 RED SPOTTY PAPER CUPS,United Kingdom,48,0.65,31.2,In Stock,Excellent,Critical,40
30.03.2017,5:00,AVpfLsb-ilAPnD_xWtDE,536390,21786,POLKADOT RAIN HAT ,United Kingdom,144,0.32,46.08,In Stock,Excellent,Critical,50
11.10.2017,11:00,AVpfLsb-ilAPnD_xWtDE,536390,22654,DELUXE SEWING KIT ,United Kingdom,40,4.95,198,In Stock,Excellent,Very High,200
28.10.2017,19:00,AVpfLsb-ilAPnD_xWtDE,536390,21485,RETROSPOT HEART HOT WATER BOTTLE,United Kingdom,24,4.25,102,In Stock,Excellent,High,110
26.05.2018,7:00,AVpe8D1nLJeJML43yvxK,536390,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,United Kingdom,24,3.39,81.36,In Stock,Excellent,High,90
21.01.2018,4:00,AVpf3txeLJeJML43FN82,536390,84030E,ENGLISH ROSE HOT WATER BOTTLE,United Kingdom,24,3.75,90,In Stock,Excellent,High,90
19.08.2017,2:00,AVpf3txeLJeJML43FN82,536390,22174,PHOTO CUBE,United Kingdom,48,1.48,71.04,In Stock,Excellent,Low,80
31.05.2017,19:00,AVpf3txeLJeJML43FN82,536390,22969,HOMEMADE JAM SCENTED CANDLES,United Kingdom,96,1.25,120,In Stock,Excellent,Low,120
30.03.2017,10:00,AVpf3txeLJeJML43FN82,536390,85099B,JUMBO BAG RED RETROSPOT,United Kingdom,100,1.65,165,In Stock,Excellent,Low,170
24.04.2018,15:00,AWIm0C3TYSSHbkXwx3S6,536396,85123A,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,6,2.55,15.3,In Stock,Very Good,Medium,20
24.04.2018,15:00,AWIm0C3TYSSHbkXwx3S6,536396,71053,WHITE METAL LANTERN,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
28.09.2017,17:00,AVpfBGsK1cnluZ0-cEkm,536396,84406B,CREAM CUPID HEARTS COAT HANGER,United Kingdom,8,2.75,22,In Stock,Excellent,High,30
27.05.2018,3:00,AVpfBGsK1cnluZ0-cEkm,536396,15056BL,EDWARDIAN PARASOL BLACK,United Kingdom,6,4.95,29.7,In Stock,Excellent,Very High,30
27.05.2018,1:00,AVpfJZfu1cnluZ0-e6h0,536396,20679,EDWARDIAN PARASOL RED,United Kingdom,6,4.95,29.7,In Stock,Excellent,Very High,30
26.05.2018,16:00,AV0A-lHuvKc47QAVflgj,536396,37370,RETRO COFFEE MUGS ASSORTED,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
26.05.2018,16:00,AV0A-lHuvKc47QAVflgj,536396,21871,SAVE THE PLANET MUG,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
27.05.2015,18:00,AVpgUFUC1cnluZ0-zve8,536396,21071,VINTAGE BILLBOARD DRINK ME MUG,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
26.03.2015,5:00,AVpgUFUC1cnluZ0-zve8,536396,21068,VINTAGE BILLBOARD LOVE/HATE MUG,United Kingdom,6,1.06,6.36,Out Of Stock,Good,Low,10
26.05.2018,16:00,AVpgUFUC1cnluZ0-zve8,536396,82483,WOOD 2 DRAWER CABINET WHITE FINISH,United Kingdom,2,4.95,9.9,In Stock,Good,Very High,10
27.05.2015,18:00,AVpgUFUC1cnluZ0-zve8,536396,82486,WOOD S/3 CABINET ANT WHITE FINISH,United Kingdom,4,6.95,27.8,In Stock,Excellent,Very High,30
22.04.2015,17:00,AVpgUFUC1cnluZ0-zve8,536396,82482,WOODEN PICTURE FRAME WHITE FINISH,United Kingdom,6,2.1,12.6,In Stock,Good,Medium,20
05.03.2018,6:00,AVpfSgKO1cnluZ0-h5Jx,536396,82494L,WOODEN FRAME ANTIQUE WHITE ,United Kingdom,12,2.55,30.6,In Stock,Excellent,Medium,40
01.06.2018,7:00,AVpfSgKO1cnluZ0-h5Jx,536396,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
04.12.2017,21:00,AVpfSgKO1cnluZ0-h5Jx,536396,84029E,RED WOOLLY HOTTIE WHITE HEART.,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
26.08.2017,14:00,AVpfnp8HLJeJML43AmVi,536396,22752,SET 7 BABUSHKA NESTING BOXES,United Kingdom,2,7.65,15.3,In Stock,Very Good,Very High,20
24.10.2017,14:00,AVpfnp8HLJeJML43AmVi,536396,22803,IVORY EMBROIDERED QUILT ,United Kingdom,2,35.75,71.5,In Stock,Excellent,Very High,80
08.09.2017,14:00,AVpfnp8HLJeJML43AmVi,536396,21730,GLASS STAR FROSTED T-LIGHT HOLDER,United Kingdom,6,4.25,25.5,In Stock,Excellent,High,30
10.10.2017,21:00,AV13iAUYGV-KLJ3aka9M,536397,35004B,SET OF 3 BLACK FLYING DUCKS,United Kingdom,12,4.65,55.8,In Stock,Excellent,Very High,60
21.07.2017,16:00,AV13iAUYGV-KLJ3aka9M,536397,35004C,SET OF 3 COLOURED  FLYING DUCKS,United Kingdom,48,4.65,223.2,In Stock,Excellent,Very High,230
26.05.2018,15:00,AV13iAUYGV-KLJ3aka9M,536399,22632,HAND WARMER RED POLKA DOT,United Kingdom,6,1.85,11.1,In Stock,Good,Medium,20
16.11.2017,19:00,AV13iAUYGV-KLJ3aka9M,536399,22633,HAND WARMER UNION JACK,United Kingdom,6,1.85,11.1,In Stock,Good,Medium,20
26.04.2018,17:00,AV13iAUYGV-KLJ3aka9M,536406,85123A,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,8,2.55,20.4,In Stock,Excellent,Medium,30
26.05.2018,15:00,AV13iAUYGV-KLJ3aka9M,536406,71053,WHITE METAL LANTERN,United Kingdom,8,3.39,27.12,In Stock,Excellent,High,30
07.12.2017,6:00,AV13iAUYGV-KLJ3aka9M,536406,84406B,CREAM CUPID HEARTS COAT HANGER,United Kingdom,8,2.75,22,In Stock,Excellent,High,30
23.07.2017,0:00,AVpgF1BOilAPnD_xnTsK,536406,20679,EDWARDIAN PARASOL RED,United Kingdom,6,4.95,29.7,In Stock,Excellent,Very High,30
21.01.2018,8:00,AVpgF1BOilAPnD_xnTsK,536406,37370,RETRO COFFEE MUGS ASSORTED,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
17.09.2017,10:00,AVpgF1BOilAPnD_xnTsK,536406,21871,SAVE THE PLANET MUG,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
30.03.2017,10:00,AVpgF1BOilAPnD_xnTsK,536406,21071,VINTAGE BILLBOARD DRINK ME MUG,United Kingdom,6,1.06,6.36,Out Of Stock,Good,Low,10
17.11.2017,18:00,AVpgF1BOilAPnD_xnTsK,536406,21068,VINTAGE BILLBOARD LOVE/HATE MUG,United Kingdom,6,1.06,6.36,In Stock,Good,Low,10
26.05.2018,15:00,AVpfM3TL1cnluZ0-gDuQ,536406,82483,WOOD 2 DRAWER CABINET WHITE FINISH,United Kingdom,4,4.95,19.8,In Stock,Very Good,Very High,20
26.05.2018,17:00,AVpjQLlKLJeJML43tRja,536406,82486,WOOD S/3 CABINET ANT WHITE FINISH,United Kingdom,4,6.95,27.8,In Stock,Excellent,Very High,30
10.03.2017,22:00,AVpjQLlKLJeJML43tRja,536406,82482,WOODEN PICTURE FRAME WHITE FINISH,United Kingdom,6,2.1,12.6,In Stock,Good,Medium,20
12.12.2017,18:00,AV1YFmcQglJLPUi8IGd1,536406,82494L,WOODEN FRAME ANTIQUE WHITE ,United Kingdom,6,2.55,15.3,In Stock,Very Good,Medium,20
28.09.2017,4:00,AV1YFmcQglJLPUi8IGd1,536406,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
23.07.2017,3:00,AV1YFmcQglJLPUi8IGd1,536406,84029E,RED WOOLLY HOTTIE WHITE HEART.,United Kingdom,6,3.39,20.34,In Stock,Excellent,High,30
05.03.2018,4:00,AV1YFmcQglJLPUi8IGd1,536406,22752,SET 7 BABUSHKA NESTING BOXES,United Kingdom,2,7.65,15.3,In Stock,Very Good,Very High,20
26.05.2018,15:00,AV2Zq0TUvKc47QAVpH6i,536406,22803,IVORY EMBROIDERED QUILT ,United Kingdom,2,35.75,71.5,Out Of Stock,Excellent,Very High,80
01.06.2018,0:00,AVzNjFsJvKc47QAVd1TD,536406,21730,GLASS STAR FROSTED T-LIGHT HOLDER,United Kingdom,6,4.25,25.5,In Stock,Excellent,High,30
19.08.2017,2:00,AVzNjFsJvKc47QAVd1TD,536407,22632,HAND WARMER RED POLKA DOT,United Kingdom,6,1.85,11.1,In Stock,Good,Medium,20
15.06.2018,18:00,AVzNjFsJvKc47QAVd1TD,536407,22633,HAND WARMER UNION JACK,United Kingdom,6,1.85,11.1,In Stock,Good,Medium,20
10.03.2015,19:00,AVpf5N1w1cnluZ0-tJMj,536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,United Kingdom,3,6.35,19.05,In Stock,Very Good,Very High,20
17.09.2017,8:00,AVpf5N1w1cnluZ0-tJMj,536409,21479,WHITE SKULL HOT WATER BOTTLE ,United Kingdom,1,3.75,3.75,In Stock,Low,High,10
26.05.2018,16:00,AVpf5N1w1cnluZ0-tJMj,536409,22111,SCOTTIE DOG HOT WATER BOTTLE,United Kingdom,1,4.95,4.95,In Stock,Low,Very High,10
22.01.2018,21:00,AVpf5N1w1cnluZ0-tJMj,536409,22785,SQUARECUSHION COVER PINK UNION FLAG,United Kingdom,1,6.75,6.75,In Stock,Good,Very High,10
04.03.2017,11:00,AVpf24SVLJeJML43FAIX,536409,22975,SPACEBOY CHILDRENS EGG CUP,United Kingdom,1,1.25,1.25,In Stock,Very Low,Low,10
26.05.2018,16:00,AVpf24SVLJeJML43FAIX,536409,22972,CHILDREN'S SPACEBOY MUG,United Kingdom,1,1.65,1.65,In Stock,Very Low,Low,10
14.12.2017,7:00,AVphQfSlilAPnD_x3PsG,536409,22866,HAND WARMER SCOTTY DOG DESIGN,United Kingdom,1,2.1,2.1,In Stock,Very Low,Medium,10
26.05.2018,15:00,AVphQfSlilAPnD_x3PsG,536409,22568,FELTCRAFT CUSHION OWL,United Kingdom,1,3.75,3.75,In Stock,Low,High,10
15.08.2017,15:00,AVphQfSlilAPnD_x3PsG,536409,85116,BLACK CANDELABRA T-LIGHT HOLDER,United Kingdom,1,2.1,2.1,In Stock,Very Low,Medium,10
23.07.2017,0:00,AVphQfSlilAPnD_x3PsG,536409,22664,TOY TIDY DOLLY GIRL DESIGN,United Kingdom,1,2.1,2.1,In Stock,Very Low,Medium,10
12.11.2017,8:00,AVphQfSlilAPnD_x3PsG,536409,21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,United Kingdom,1,2.95,2.95,In Stock,Low,High,10
01.06.2018,15:00,AWLk3Ju4Iwln0LfXl1IO,536409,21866,UNION JACK FLAG LUGGAGE TAG,United Kingdom,1,1.25,1.25,In Stock,Very Low,Low,10
16.04.2018,17:00,AWLk3Ju4Iwln0LfXl1IO,536409,20669,RED HEART LUGGAGE TAG,United Kingdom,1,1.25,1.25,In Stock,Very Low,Low,10
27.05.2018,2:00,AWLk3Ju4Iwln0LfXl1IO,536409,90129F,RED GLASS TASSLE BAG CHARM,United Kingdom,1,2.95,2.95,In Stock,Low,High,10
06.12.2017,21:00,AVpfvR8QilAPnD_xhYtm,536409,90210B,CLEAR ACRYLIC FACETED BANGLE,United Kingdom,1,2.95,2.95,In Stock,Low,High,10
24.04.2015,20:00,AVpfvR8QilAPnD_xhYtm,536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,United Kingdom,1,6.35,6.35,In Stock,Good,Very High,10
27.05.2018,1:00,AVpfvR8QilAPnD_xhYtm,536409,21955,DOORMAT UNION JACK GUNS AND ROSES,United Kingdom,1,7.95,7.95,Out Of Stock,Good,Very High,10
23.07.2017,4:00,AVpfvR8QilAPnD_xhYtm,536409,72802C,VANILLA SCENT CANDLE JEWELLED BOX,United Kingdom,1,4.25,4.25,In Stock,Low,High,10
10.10.2017,20:00,AVpfvR8QilAPnD_xhYtm,536409,22109,FULL ENGLISH BREAKFAST PLATE,United Kingdom,1,3.75,3.75,In Stock,Low,High,10
17.09.2017,10:00,AVpfvR8QilAPnD_xhYtm,536409,85116,BLACK CANDELABRA T-LIGHT HOLDER,United Kingdom,5,2.1,10.5,Out Of Stock,Good,Medium,20
24.04.2018,15:00,AVpjdPfPilAPnD_xNmIv,536409,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,United Kingdom,1,0.42,0.42,Out Of Stock,Very Low,Critical,10
24.04.2018,15:00,AVpjdPfPilAPnD_xNmIv,536409,21811,CHRISTMAS HANGING HEART WITH BELL,United Kingdom,1,1.25,1.25,In Stock,Very Low,Low,10
26.04.2018,17:00,AWIsfzRiYSSHbkXwx4H3,536409,22183,CAKE STAND VICTORIAN FILIGREE MED,United Kingdom,1,6.75,6.75,In Stock,Good,Very High,10
26.05.2018,15:00,AWIsfzRiYSSHbkXwx4H3,536409,21678,PAISLEY PATTERN  STICKERS,United Kingdom,6,0.85,5.1,In Stock,Low,Critical,10
09.03.2018,18:00,AWIsfzRiYSSHbkXwx4H3,536409,21676,FLOWERS  STICKERS,United Kingdom,6,0.85,5.1,In Stock,Low,Critical,10
02.05.2018,14:00,AWIsfzRiYSSHbkXwx4H3,536409,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,United Kingdom,1,2.95,2.95,In Stock,Low,High,10
10.03.2017,15:00,AVpiVYLb1cnluZ0-MQnR,536409,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,United Kingdom,3,2.95,8.85,In Stock,Good,High,10
06.12.2017,19:00,AVpiLlubilAPnD_xBoTa,536409,21931,JUMBO STORAGE BAG SUKI,United Kingdom,2,1.95,3.9,In Stock,Low,Medium,10
15.08.2017,16:00,AVpiLlubilAPnD_xBoTa,536409,85169B,BLACK LOVE BIRD CANDLE,United Kingdom,12,1.25,15,In Stock,Very Good,Low,20
09.01.2018,17:00,AVpiLlubilAPnD_xBoTa,536409,16238,PARTY TIME PENCIL ERASERS,United Kingdom,28,0.21,5.88,In Stock,Low,Critical,10
